W1	Айри Аванери
W2	Алекса Звитакс
W3	Александра Кузнецова
W4	Александра Софронова
W5	Александра Ушакова
W6	Александра Чернова
W7	Алина Шворак
W8	Алла Потапова
W9	Анастасия Голубева
W10	Анастасия Ефимова
W11	Анастасия Колиш
W12	Анастасия Комова
W13	Анастасия Панова
W14	Анастасия Рыбка
W15	Анастасия Шевцова
W16	Ангелина Испирян
W17	Анна Блажко
W18	Анна Волошина
W19	Анна Гапонова
W20	Анна Козловская
W21	Анна Плотникова
W22	Анна Россихина
W23	Анна Спиридонова
W24	Анна Фарладанская
W25	Анна Фищенко
W26	Анна Хонина
W27	Анна Храмцова
W28	Анна Шмигельская
W29	Антонина Савельева
W30	Арина Манилова
W31	Валентина Сабитова
W32	Валерия Коцюр
W33	Валерия Петрова
W34	Валерия Щетинкина
W35	Варвара Артамонова
W36	Василиса Труханкина
W37	Вероника Волкова
W38	Вероника Легостаева
W39	Виктория Климченко
W40	Виктория Ли
W41	Виктория Прищепа
W42	Виктория Серебренникова
W43	Дарья Бордюговская
W44	Дарья Семёнова
W45	Дарья Чернова
W46	Диана Стигарь
W47	Евгения Васильева
W48	Евгения Игнатович
W49	Евгения Мугурдумова
W50	Евгения Подносова
W51	Екатерина Антипова
W52	Екатерина Башмакова
W53	Екатерина Варава
W54	Екатерина Гусева
W55	Екатерина Жучкова
W56	Екатерина Кудякова
W57	Екатерина Мещанинова
W58	Екатерина Наумова
W59	Екатерина Савина
W60	Екатерина Чернявская
W61	Екатерина Шевцова
W62	Елена Абаимова
W63	Елена Иванова
W64	Елена Тодирка
W65	Елена Трошнева
W66	Елена Улудинцева
W67	Елена Чунихина
W68	Елена Шмигельская
W69	Елизавета Хорошилова
W70	Елица Замфирова
W71	Зоя Новикова
W72	Ингорен Таль
W73	Ирина Ермакова
W74	Ирина Моцык;Ирина Моцик
W75	Ирина Скляр
W76	Кристина Казанцева
W77	Кристина Толпыго
W78	Ксения Котельникова
W79	Ксения Титова
W80	Лариса Фарина
W81	Лилия Колючева
W82	Людмила Кирица
W83	Маргарита Прудиус
W84	Маргарита Фетюхина
W85	Марина Краева
W86	Мария Виноградова;Мария Быкова
W87	Мария Долгих
W88	Милена Федотова
W89	Натали Рувман
W90	Наталья Алексеенко
W91	Наталья Концунтейло
W92	Наталья Сычева
W93	Наталья Шохова
W94	Нели Шойфер
W95	Оксана Фадеева
W96	Ольга Баранова
W97	Ольга Вишнякова
W98	Ольга Власова
W99	Ольга Волошина
W100	Ольга Гордеева
W101	Ольга Куликова
W102	Ольга Куп
W103	Ольга Лососовская
W104	Ольга Михайлова
W105	Ольга Мохначёва
W106	Ольга Овчинникова;Ольга Коренькова
W107	Ольга Шишмарева;Ольга Шишмарёва
W108	Петра Ловаш;Петра Ловас
W109	Полина Гусар
W110	Полина Куниченко
W111	Полина Михайлова
W112	Полина Трифонова
W113	Рута Пашкаускене
W114	Светлана Ганина
W115	Светлана Крекина
W116	Светлана Мохначева
W117	Соломия Братейко
W118	Таисия Постылякова
W119	Татьяна Ивахина
W120	Татьяна Михайлова
W121	Татьяна Татьянина
W122	Татьяна Тюрякова
W123	Татьяна Ягодка
W124	Шани Грауэр
W125	Шелли Гельман
W126	Элина Вахрушева
W127	Юлия Иванова
W128	Юлия Сакевич
W129	Юлия Ходько
W130	Анна Зубкова
W131	Анна Тихомирова
W132	Юлия Гац
W133	Татьяна Згурская
W134	Анастасия Зиберова
